text,sub_emotion,intensity,emotion,emotion_encoded,sub_emotion_encoded,intensity_encoded
Did you kiss?,curiosity,moderate,happiness,3,7,1
Yeah.,neutral,mild,neutral,4,20,0
But no !,annoyance,mild,anger,0,3,0
Why do you have a problem?,confusion,mild,surprise,6,6,0
"So, you wanted a girl like that?",curiosity,mild,happiness,3,7,0
"What is there, actually?",curiosity,mild,happiness,3,7,0
What is the problem?,confusion,mild,surprise,6,6,0
It's going fast.,neutral,mild,neutral,4,20,0
It goes very quickly.,neutral,mild,neutral,4,20,0
This is the 3rd time that I have seen it.,neutral,mild,neutral,4,20,0
We got very wrong.,disappointment,moderate,sadness,5,9,1
"You saw it 3 times, an hour.",neutral,mild,neutral,4,20,0
"Si t'as le feeling, t'as le feeling.",neutral,mild,neutral,4,20,0
We had the 5th!,excitement,moderate,happiness,3,13,1
I am shocked.,surprise,strong,surprise,6,27,2
"Yesterday, you told me that in big, limit ...",neutral,mild,neutral,4,20,0
"I tell you in my own way, I am from the south,",neutral,mild,neutral,4,20,0
I am very ...,neutral,mild,neutral,4,20,0
That she eats to all the racks,neutral,mild,neutral,4,20,0
And you didn't like it.,disapproval,mild,disgust,1,10,0
I didn't say that.,annoyance,mild,anger,0,3,0
This is what I just told you.,annoyance,mild,anger,0,3,0
I speak in my own way.,pride,mild,happiness,3,22,0
"At that time, I tell him",neutral,mild,neutral,4,20,0
Do not remix people's words.,disapproval,moderate,disgust,1,10,1
He didn't say that.,confusion,mild,surprise,6,6,0
"If we can both be, we are both.",neutral,mild,neutral,4,20,0
She has known him since yesterday.,neutral,mild,neutral,4,20,0
At what time you allow yourself to tell someone,curiosity,mild,happiness,3,7,0
What should he do?,curiosity,mild,happiness,3,7,0
It's a crazy thing.,surprise,moderate,surprise,6,27,1
"Yes, it had pissed me off.",anger,moderate,anger,0,2,1
I spoke with Manon.,neutral,mild,neutral,4,20,0
"Because there, you get involved in what you don't look at.",confusion,mild,surprise,6,6,0
You're jealous.,disapproval,moderate,disgust,1,10,1
Are you a whore or what?,anger,strong,anger,0,2,2
You get involved in what you don't look at.,confusion,moderate,surprise,6,6,1
"You get bored, you look at us.",annoyance,mild,anger,0,3,0
She gets angry.,anger,strong,anger,0,2,2
"Me, it does me something.",curiosity,mild,happiness,3,7,0
"If you get angry, you have something towards me.",anger,mild,anger,0,2,0
You liked you to get closer.,desire,mild,happiness,3,8,0
This is what I understand.,realization,mild,surprise,6,23,0
I don't know how to react to all the inhabitants.,confusion,moderate,surprise,6,6,1
It is a very complex situation.,confusion,moderate,surprise,6,6,1
We mingle with everything.,neutral,mild,neutral,4,20,0
"It's like that, it's community life.",neutral,mild,neutral,4,20,0
"In an adventure, we mix with everything.",neutral,mild,neutral,4,20,0
Do you have anything else to say?,curiosity,mild,happiness,3,7,0
You look at us.,neutral,mild,neutral,4,20,0
And what does that do it?,confusion,mild,surprise,6,6,0
I fight my balls.,annoyance,moderate,anger,0,3,1
I look.,neutral,mild,neutral,4,20,0
You are going to have suitors.,optimism,mild,happiness,3,21,0
"Don't worry, I don't need them.",neutral,mild,neutral,4,20,0
I live without that.,neutral,mild,neutral,4,20,0
"Sure and certain, we will never be friends.",disappointment,moderate,sadness,5,9,1
Really.,neutral,mild,neutral,4,20,0
I leave with Lalou and I will pretend she was not there.,disapproval,moderate,disgust,1,10,1
"For me, this girl no longer exists in life.",disapproval,strong,disgust,1,10,2
We kissed because we wanted to.,desire,moderate,happiness,3,8,1
I think you wanted it too.,curiosity,mild,happiness,3,7,0
So that's it.,realization,mild,surprise,6,23,0
"It's a crazy thing, I tell you.",excitement,moderate,happiness,3,13,1
It is the Creation Court.,neutral,mild,neutral,4,20,0
They made a kiss.,neutral,mild,neutral,4,20,0
Wow!,surprise,moderate,surprise,6,27,1
Where are we?,confusion,mild,surprise,6,6,0
Hello ?,neutral,mild,neutral,4,20,0
"When it is to talk about them, they avoid the subject.",annoyance,mild,anger,0,3,0
"When it's us, it makes them laugh.",annoyance,mild,anger,0,3,0
Is that in a sense.,neutral,mild,neutral,4,20,0
It annoys me.,annoyance,moderate,anger,0,3,1
They are jealous.,disapproval,moderate,disgust,1,10,1
"Manon, this morning, she made the girl.",disapproval,mild,disgust,1,10,0
I don't care.,neutral,mild,neutral,4,20,0
I don't understand.,confusion,moderate,surprise,6,6,1
"When we go to the beach,",neutral,mild,neutral,4,20,0
The girl takes out her big Jemelles.,neutral,mild,neutral,4,20,0
It looks like a pirate.,amusement,mild,happiness,3,1,0
We want to throw ourselves.,desire,mild,happiness,3,8,0
It hurts him.,sadness,moderate,sadness,5,26,1
"Yeah, exactly.",neutral,mild,neutral,4,20,0
"When I see Manon's disproportionate reaction,",confusion,moderate,surprise,6,6,1
I ask myself questions.,curiosity,mild,happiness,3,7,0
"It's complicated, but I focus on my relationship with Larisse",optimism,moderate,happiness,3,21,1
And we have a good time on the rooftop.,joy,mild,happiness,3,17,0
I don't doubt you.,approval,mild,happiness,3,4,0
Ah bah yes.,neutral,mild,neutral,4,20,0
I know that not at all.,confusion,mild,surprise,6,6,0
"Afterwards, I don't see.",confusion,mild,surprise,6,6,0
"If I tell you, it is because it is.",neutral,mild,neutral,4,20,0
I wouldn't like ...,disapproval,mild,disgust,1,10,0
"Not forced, actually.",neutral,mild,neutral,4,20,0
It's going to be nice.,optimism,mild,happiness,3,21,0
Don't worry.,caring,mild,happiness,3,5,0
Not for that.,neutral,mild,neutral,4,20,0
Sweet music,joy,mild,happiness,3,17,0
"It's not good, there.",disapproval,mild,disgust,1,10,0
Message.,neutral,mild,neutral,4,20,0
Ah !,surprise,mild,surprise,6,27,0
Has coaching arrived?,curiosity,mild,happiness,3,7,0
