text,sub_emotion,intensity,emotion,emotion_encoded,sub_emotion_encoded,intensity_encoded
Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,excitement,strong,happiness,3,13,2
Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,optimism,moderate,happiness,3,21,1
But only the standout modeling talent were chosen as our final 14,pride,moderate,happiness,3,22,1
Prepare for an adventure of a lifetime,excitement,strong,happiness,3,13,2
All I can say girls for this fierce fifth season is be prepared to expect the unexpected,excitement,moderate,happiness,3,13,1
With twists and turns at every corner. This is a crazy competition,excitement,strong,happiness,3,13,2
"If you don't really want to be here, it's short. They will stop at nothing to come out on top",optimism,strong,happiness,3,21,2
I don't want to trust anyone with some of the top names in the industry,nervousness,moderate,fear,2,19,1
If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,amusement,moderate,happiness,3,1,1
We'll kill it on the international stage. The challenges are tough,optimism,strong,happiness,3,21,2
"Okay, I got my work cut out for me now",optimism,moderate,happiness,3,21,1
Let the games begin,excitement,strong,happiness,3,13,2
And I'm from Malaysia I,neutral,mild,neutral,4,20,0
Would say that I'm a model with brains. I am putting my degree in whole,pride,moderate,happiness,3,22,1
It's now or never and by one last shot before I jump back into the world of academia,optimism,strong,happiness,3,21,2
"Hello, I'm Valerie and I'm Veronica. We're 24 years old and we're from Jakarta",neutral,mild,neutral,4,20,0
"Indonesia, of course, obviously, we're twins",neutral,mild,neutral,4,20,0
Double power,excitement,moderate,happiness,3,13,1
"It was my idea to come to Asia's Next Top Model, sorry, Veronica",pride,mild,happiness,3,22,0
"Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner",optimism,strong,happiness,3,21,2
I,neutral,mild,neutral,4,20,0
"Am Jennica Sanchez, I am 20 years old and I'm from Philippines. I",neutral,mild,neutral,4,20,0
Really love fashion. So I started my fashion blog. I have,pride,moderate,happiness,3,22,1
"70,000 followers in Instagram right now. They keep on commenting on my photos at the Jenica",pride,moderate,happiness,3,22,1
Please join Asia's Next Top Model for me. I'm gonna do everything to go all the way to the top,optimism,strong,happiness,3,21,2
My,neutral,mild,neutral,4,20,0
"Name is Clara. I'm 21 years old. I'm from Indonesia. I don't have brain. I mean, I'm not smart",neutral,mild,neutral,4,20,0
I just have this face. I'll just tell it,neutral,mild,neutral,4,20,0
"When I go to primary school, I get bullied",sadness,moderate,sadness,5,26,1
I want to prove my primary school who bullied me the ugly ducking now become a pretty pretty face,optimism,strong,happiness,3,21,2
Welcome ladies,neutral,mild,neutral,4,20,0
I'm Cara G McElroy and I am your model mentor for this season of Asia's Next Top Model,pride,moderate,happiness,3,22,1
I've worked for many global ad campaigns and worked alongside,pride,moderate,happiness,3,22,1
Supermodels like Cindy Crawford and Naomi Campbell,admiration,moderate,happiness,3,0,1
Wow Cara is so beautiful. She's tall and she's so poised,admiration,strong,happiness,3,0,2
Without first bringing out your amazing host,admiration,mild,happiness,3,0,0
the gorgeous,admiration,moderate,happiness,3,0,1
your superstar,admiration,moderate,happiness,3,0,1
confidant the ever so graceful,admiration,moderate,happiness,3,0,1
Cindy Bishop,neutral,mild,neutral,4,20,0
"It's Cindy she just walked across I was like, whoa",surprise,strong,surprise,6,27,2
"She is gorgeous. I'm like, yeah, she's from Thailand. She's happy. Hi",admiration,moderate,happiness,3,0,1
So good to be back and I'm so excited to get to know each and every one of you beautiful ladies this season,excitement,strong,happiness,3,13,2
It's all about celebrating,joy,moderate,happiness,3,17,1
Individuality and bringing out the best of the uniqueness that we see in all of you. We're not just looking for a pretty face,admiration,moderate,happiness,3,0,1
We are looking for a supermodel a rising star someone who can set herself apart from the rest and stand out from the crowd,desire,moderate,happiness,3,8,1
"99% I want to be the Asian list of model, but 100% I want to win",desire,strong,happiness,3,8,2
14 beautiful women from all across Asia,neutral,mild,neutral,4,20,0
"So on that note ladies, welcome to Asia's next top model",excitement,moderate,happiness,3,13,1
Starts right now,neutral,mild,neutral,4,20,0
"So Pia walks out with six male models, which are like half naked",amusement,mild,happiness,3,1,0
beautiful abs and I'm thinking,desire,mild,happiness,3,8,0
Damn,annoyance,mild,anger,0,3,0
So ladies meet your first special guest of the competition,excitement,moderate,happiness,3,13,1
Can't believe that Pia Wurtzbach is actually here,surprise,moderate,surprise,6,27,1
They will be your co-stars for your first,neutral,mild,neutral,4,20,0
Gorilla lingerie catwalk challenge and that's happening right now,amusement,moderate,happiness,3,1,1
That's right girls you will be dressed in sexy lingerie as we set up a gorilla catwalk on this very bridge,excitement,moderate,happiness,3,13,1
Usually I did better in runways and catwalk than Valerie,pride,mild,happiness,3,22,0
So I'm confident in this challenge that I will win over her,optimism,moderate,happiness,3,21,1
Everyone looks really good in lingerie,admiration,mild,happiness,3,0,0
So intimidating,fear,moderate,fear,2,14,1
"Hello girls, are you excited for your first challenge?",excitement,mild,happiness,3,13,0
When you walk out you have to choose one of the male models to be your co-star as you make your way down the runway,curiosity,mild,happiness,3,7,0
"Then when you hit the end of the runway, you'll get another surprise",surprise,moderate,surprise,6,27,1
So make sure you put your best foot forward because this is the first time,nervousness,moderate,fear,2,19,1
"All right, I am scared I've never actually been on the runway so it's very nerve-wracking for me",nervousness,strong,fear,2,19,2
If you feel a confident from the inside that's when you show it from the outside and that's what I want to do,optimism,moderate,happiness,3,21,1
"Not bad, got a little bit of sass and attitude there our sweet Maureen",amusement,mild,happiness,3,1,0
Pleasantly surprised Valerie,surprise,mild,surprise,6,27,0
