Start Time,End Time,sentence,sub-emotion,Intensity,emotion
"00:00:00,000","00:00:25,000","This is Nicaragua, where these 16 New Zealanders are about to begin the adventure of a lifetime.",excitement,moderate,positive
"00:00:26,000","00:00:30,000",I know nothing about Nicaragua. I had no idea where it was.,confusion,mild,unknown
"00:00:30,000","00:00:33,000",I actually didn't know where South America or North America was.,confusion,mild,unknown
"00:00:33,000","00:00:38,000","So I guess it's a massive shock, because I'm from a little, small town.",surprise,moderate,neutral
"00:00:40,000","00:00:43,000","It is the biggest country in Central America,",neutral,neutral,neutral
"00:00:43,000","00:00:47,000",with a rich history coloured with conflict...,neutral,neutral,neutral
"00:00:48,000","00:00:50,000",and revolution.,neutral,neutral,neutral
"00:00:51,000","00:00:59,000",Which is why it's fitting our fresh-faced Kiwi survivors should face their own battle right here.,optimism,mild,unknown
"00:00:59,000","00:01:01,000",This is my game. This is my passion.,pride,intense,unknown
"00:01:01,000","00:01:04,000","I know how to mess with people, but I also know how to get them to trust me.",pride,moderate,unknown
"00:01:04,000","00:01:08,000",And I'm funny. I'm charming. I've got it all.,pride,intense,unknown
"00:01:09,000","00:01:15,000","Staged in the lush, tropical jungle, filled with diverse and dangerous wildlife...",curiosity,mild,unknown
"00:01:15,000","00:01:19,000","Yes, there are jaguars, snakes, scorpions, and big ugly spiders.",fear,moderate,negative
"00:01:19,000","00:01:22,000","They are out there, but they've always been out there.",neutral,neutral,neutral
"00:01:22,000","00:01:27,000",It's not like every day a Kiwi wakes up and looks outside and sees a jaguar or a tarantula.,amusement,mild,unknown
"00:01:27,000","00:01:31,000","And I'll take on any gang member, but I won't take on a spider.",fear,moderate,negative
"00:01:31,000","00:01:37,000",Just how will New Zealanders cope competing in the world's toughest game?,curiosity,moderate,unknown
"00:01:39,000","00:01:43,000","8,000 people applied, and the Kiwi survived.",pride,moderate,unknown
"00:01:43,000","00:01:47,000","8,000 people applied. Just 16 will make it to the beach.",,,unknown
"00:01:47,000","00:01:52,000","But in 40 days' time, there'll be only one survivor.",,,unknown
"00:01:52,000","00:01:54,000",Yahoo!,excitement,intense,positive
"00:02:44,000","00:02:48,000","The following footage is from our vault of classics, taken ten years ago.",neutral,neutral,neutral
"00:02:48,000","00:02:52,000",Those ages 30 and over should take into consideration when watching this video.,neutral,neutral,neutral
"00:03:14,000","00:03:16,000","Come on over, guys!",excitement,moderate,positive
"00:03:16,000","00:03:21,000",I am so excited. Just standing on this beach is unreal.,excitement,intense,positive
"00:03:21,000","00:03:25,000",I have to keep pinching myself and reminding myself where I am.,excitement,moderate,positive
"00:03:25,000","00:03:28,000","It's just, like, an absolute dream to me.",joy,intense,positive
"00:03:28,000","00:03:33,000","Welcome to Nukaragua, and New Zealand's first ever Survivor.",excitement,intense,positive
"00:03:36,000","00:03:40,000","In this first season, 16 of you will be competing against one another",excitement,moderate,positive
"00:03:40,000","00:03:45,000","to see who can outwit, outlast, and outplay the rest,",excitement,moderate,positive
"00:03:45,000","00:03:49,000","and take away $100,000.",desire,intense,unknown
"00:03:50,000","00:03:54,000",I dream of being in a tribal council. I dream of being on the sand.,desire,intense,unknown
"00:03:54,000","00:03:58,000","I dream of being in the water. Like, this is incredible.",excitement,intense,positive
"00:04:00,000","00:04:04,000","Any of you more than happy to be labelled the villain,",curiosity,moderate,unknown
"00:04:04,000","00:04:08,000",if it means winning this game?,curiosity,moderate,unknown
"00:04:10,000","00:04:12,000",D?,neutral,neutral,neutral
"00:04:12,000","00:04:14,000",D?,neutral,neutral,neutral
"00:04:14,000","00:04:16,000",D?,neutral,neutral,neutral
"00:04:16,000","00:04:18,000",D?,neutral,neutral,neutral
"00:04:19,000","00:04:19,000",D?,neutral,neutral,neutral
"00:04:19,000","00:04:20,000",I'm in.,optimism,moderate,unknown
"00:04:20,000","00:04:22,000",I'm surprised by your answer.,surprise,mild,neutral
"00:04:22,000","00:04:25,000","I think that, generally, I'm gonna be labelled the villain,",neutral,neutral,neutral
"00:04:25,000","00:04:28,000","just for the way that I look, so I might as well accept that.",neutral,neutral,neutral
"00:04:28,000","00:04:34,000","And if it means winning the game, why wouldn't you do whatever it takes?",optimism,moderate,unknown
"00:04:35,000","00:04:39,000","Michael, do you think D's already looking like the villain?",curiosity,mild,unknown
"00:04:39,000","00:04:43,000",You never know. Looks can be deceiving.,neutral,neutral,neutral
