Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:04,000","Gisteren, heel lang levende liefde, twee koppels zijn begonnen aan hun switchdate.","Gisteren, heel lang levende liefde, twee koppels zijn begonnen aan hun switchdate.","Yesterday, very long living love, two couples started their switch date.",neutral,neutral
"00:00:04,000","00:00:06,000",Ik ben echt heel zenuwachtig. Ben je zenuwachtig?,Ik ben echt heel zenuwachtig. Ben je zenuwachtig?,I'm really nervous. Are you nervous?,nervousness,moderate
"00:00:06,000","00:00:08,000","Nou, ik ook. Ik zit in hetzelfde schuitje.","Nou, ik ook. Ik zit in hetzelfde schuitje.","Well, me too. I'm in the same boat.",nervousness,mild
"00:00:10,000","00:00:12,000","O, dat is zo raar.","O, dat is zo raar.","Oh, that's so strange.",confusion,mild
"00:00:12,000","00:00:16,000",Na 24 uur ruilen ze van date om te zien met wie ze de beste klik hebben.,Na 24 uur ruilen ze van date om te zien met wie ze de beste klik hebben.,After 24 hours they trade from date to see with whom they have the best click.,curiosity,mild
"00:00:16,000","00:00:18,000",Voel je je kniebals weer vrij?,Voel je je kniebals weer vrij?,Do you feel your knee balls free again?,curiosity,mild
"00:00:18,000","00:00:20,000","Nee, dat voel ik helemaal niet.","Nee, dat voel ik helemaal niet.","No, I don't feel that at all.",neutral,neutral
"00:00:20,000","00:00:22,000","O, dat is zo...","O, dat is zo...","Oh, that's so ...",confusion,mild
"00:00:22,000","00:00:24,000",Janiek verheugt zich op de switch...,Janiek verheugt zich op de switch...,Janics rejoices on the switch…,excitement,moderate
"00:00:24,000","00:00:27,000",maar Maaike lijkt zich al helemaal vast te wijken in Nick.,maar Maaike lijkt zich al helemaal vast te wijken in Nick.,But Maaike seems to be completely stuck in Nick.,love,moderate
"00:00:28,000","00:00:29,000",O...,O...,O...,neutral,neutral
"00:00:29,000","00:00:31,000",Dit is Lang Levende Liefde.,Dit is Lang Levende Liefde.,This is long living love.,admiration,mild
"00:00:31,000","00:00:35,000",Wat maakt dat de wereld draait,Wat maakt dat de wereld draait,What makes the world turn,curiosity,mild
"00:00:35,000","00:00:39,000",Wat maakt dat de dagen van goud zijn,Wat maakt dat de dagen van goud zijn,What makes the days of gold,curiosity,mild
"00:00:39,000","00:00:42,000","Wat schrijft die de liefde, de mooiste verhalen","Wat schrijft die de liefde, de mooiste verhalen","What does that love writes, the most beautiful stories",admiration,moderate
"00:00:42,000","00:00:48,000","Lang levende liefde, de liefde is vrij","Lang levende liefde, de liefde is vrij","Long Living Love, Love is free",admiration,moderate
"00:00:50,000","00:00:52,000",Krijg je het warm van mij?,Krijg je het warm van mij?,Do you get it warm from me?,curiosity,mild
"00:00:52,000","00:00:55,000","Nou, ik had het net koud, dus nee.","Nou, ik had het net koud, dus nee.","Well, I was just cold, so no.",neutral,neutral
"00:00:56,000","00:00:57,000",Ik krijg het niet zo snel warm.,Ik krijg het niet zo snel warm.,I don't get it warm so quickly.,neutral,neutral
"00:00:57,000","00:00:58,000","Nou, en bedankt.","Nou, en bedankt.","Well, and thanks.",gratitude,mild
"00:00:58,000","00:00:59,000","Koud hoofd altijd, cool.","Koud hoofd altijd, cool.","Always cold head, cool.",neutral,neutral
"00:01:00,000","00:01:03,000","Ik zeg, ik krijg het niet zo snel warm, maar van jou krijgt het wel warm.","Ik zeg, ik krijg het niet zo snel warm, maar van jou krijgt het wel warm.","I say, I don't get it warm so quickly, but you get hot.",amusement,mild
"00:01:03,000","00:01:05,000","O, slijmbal.","O, slijmbal.","Oh, slime ball.",annoyance,mild
"00:01:06,000","00:01:07,000",Vloedheet.,Vloedheet.,Vloed hot.,neutral,neutral
"00:01:07,000","00:01:08,000",Slijmbal.,Slijmbal.,Slime ball.,annoyance,mild
"00:01:08,000","00:01:10,000",Vloedheet heb ik het. Vloedheet heb ik het.,Vloedheet heb ik het. Vloedheet heb ik het.,I have a tide. I have a tide.,neutral,neutral
"00:01:13,000","00:01:14,000",Laat rusten.,Laat rusten.,Let rest.,neutral,neutral
"00:01:14,000","00:01:15,000",Laat rusten.,Laat rusten.,Let rest.,neutral,neutral
"00:01:25,000","00:01:26,000",Zo.,Zo.,Like this.,neutral,neutral
"00:01:26,000","00:01:27,000",Heb je honger?,Heb je honger?,Are you hungry?,curiosity,mild
"00:01:27,000","00:01:28,000",Ja.,Ja.,And.,neutral,neutral
"00:01:32,000","00:01:34,000","Ja, ben je er klaar mee?","Ja, ben je er klaar mee?","Yes, are you done with it?",curiosity,mild
