Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:03,000",Dit is mijn beslissing. De zaak is afgedaan. Dank u wel.,Dit is mijn beslissing. De zaak is afgedaan. Dank u wel.,This is my decision. The case has been finished. Thank you.,neutral,neutral
"00:00:03,000","00:00:05,000",Jij hebt tegen mij gezegd...,Jij hebt tegen mij gezegd...,You said to me ...,neutral,neutral
"00:00:05,000","00:00:09,000",ik zou wensen dat je nu ter plekke hier dood viel.,ik zou wensen dat je nu ter plekke hier dood viel.,I wish you fell dead here on the spot.,anger,intense
"00:00:09,000","00:00:11,000",Dat is niet waar.,Dat is niet waar.,That's not true.,disapproval,mild
"00:00:11,000","00:00:13,000","Ameke, ameke, ameke, je hebt wel meer gezegd.","Ameke, ameke, ameke, je hebt wel meer gezegd.","Ameke, Ameke, Ameke, you have said more.",annoyance,mild
"00:00:14,000","00:00:18,000",Ik ga hier weg. Ik word er... Ik vind het zo...,Ik ga hier weg. Ik word er... Ik vind het zo...,I'm leaving here. I am getting there ... I think so ...,neutral,neutral
"00:00:18,000","00:00:20,000",Maar zij mogen toch ook zeggen hoe ze het hebben?,Maar zij mogen toch ook zeggen hoe ze het hebben?,But they can also say how they have it?,curiosity,mild
"00:00:20,000","00:00:22,000","Niet wel, maar het is niet zo.","Niet wel, maar het is niet zo.","Not yes, but it is not.",confusion,mild
"00:00:22,000","00:00:23,000",Jeetje.,Jeetje.,Gosh.,surprise,mild
"00:00:30,000","00:00:34,000","Mensen willen altijd gelijk hebben. Heb ze het niet, dan gaat ze het halen.","Mensen willen altijd gelijk hebben. Heb ze het niet, dan gaat ze het halen.","People always want to be right. If they don't have it, she will make it.",annoyance,moderate
"00:00:35,000","00:00:39,000",Ik denk dat mijn buurvrouw alleen op een eiland woont. Dat denk ik.,Ik denk dat mijn buurvrouw alleen op een eiland woont. Dat denk ik.,I think my neighbor lives alone on an island. I think so.,curiosity,mild
"00:00:39,000","00:00:42,000","We moeten even door die zure appel heen, maar daarvoor zijn we hier.","We moeten even door die zure appel heen, maar daarvoor zijn we hier.","We have to go through that sour apple, but for that we are here.",optimism,moderate
